UNAIDS_year,iso3,subnational,group,site,point,latitude,longitude,geopositioning_method,admin_level,shapefile,location_code,flag,UNAIDS_lat,UNAIDS_lon,Distance,,Checked,
2017,BWA,,Urban,Lobatse (%),0,,,,2,BWA_adm2_2011,20,,-25.2076148,25.6805868,,,,
2017,BWA,,Rural,Mabutsane (%),1,-24.3896657,23.5671328,"Google Map- Town is less than 5km, used center point",,,,,-24.3870141,23.5788021,,,,
2017,BWA,,Urban,Mahalapye (%),0,,,,2,BWA_adm2,4,,-23.107801,26.8321332,,,,
2017,BWA,,Rural,Ngami (%),0,,,,2,BWA_adm2,18,,-19.1905321,23.0011989,,,,
2017,BWA,,Rural,North East (%),0,,,,2,BWA_adm2_2011,21,,-20.9030555,27.4556388,,,,
2017,BWA,,Rural,Okavango (%),0,,,,2,BWA_adm2,19,,-19.6510095,22.9058802,,,,
2017,BWA,,Urban,Selebi-Pikwe (%),0,,,,2,BWA_adm2_2011,24,,-22.0028763,27.8428651,,,,
2017,BWA,,Urban,Serowe Palapye (%),0,,,,2,BWA_adm2,26,,-22.5514872,27.1147095,,,,
2017,BWA,,Urban,South East (%),0,,,,2,BWA_adm2,21,,-24.9366094,25.8048521,,,,
2017,BWA,,Urban,Southern (%),0,,,,2,BWA_adm2,27,,-24.823384,24.7142918,,,,
2017,BWA,,Rural,Tutume (%),0,,,,2,BWA_adm2,8,,-20.5026195,27.0441009,,,,
2017,CAF,,Urban,Alindao,1,5.03975,21.21275,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,Bégoua,1,4.45041,18.53537,bing maps- B�goua,,,,,,,,,,
2017,CAF,,Urban,Bambari,1,5.76337,20.672608,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Rural,Bamingui,1,7.558293,20.176911,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,Bangassou,1,4.738826,22.817876,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,Batangafo,1,7.3026612,18.28226319,http://www.spatialepidemiology.net/user_maps/,,,,,,,,,,
