"GAUL_CODE","year","hiv_test","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2","shapefile","OBJECTID","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3","Shape_Leng","Shape_Area","NAME","COUNTRY_ID","ADMN_LEVEL","PARENT_ID","Area"
"11",2015,0.198219400847491,"211","ZAF","South Africa","2","Free State","11","Mangaung","ZA.FS.MT","0","MAN","District Municipality","District Municipality",NA,"Matheo","ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2016,0.195598065353276,"211","ZAF","South Africa","2","Free State","11","Mangaung","ZA.FS.MT","0","MAN","District Municipality","District Municipality",NA,"Matheo","ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2008,0.182904444181434,"211","ZAF","South Africa","2","Free State","11","Mangaung","ZA.FS.MT","0","MAN","District Municipality","District Municipality",NA,"Matheo","ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2009,0.181125762415348,"211","ZAF","South Africa","2","Free State","11","Mangaung","ZA.FS.MT","0","MAN","District Municipality","District Municipality",NA,"Matheo","ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2010,0.179089976608718,"211","ZAF","South Africa","2","Free State","11","Mangaung","ZA.FS.MT","0","MAN","District Municipality","District Municipality",NA,"Matheo","ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2011,0.179682739152584,"211","ZAF","South Africa","2","Free State","11","Mangaung","ZA.FS.MT","0","MAN","District Municipality","District Municipality",NA,"Matheo","ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2012,0.186568212818578,"211","ZAF","South Africa","2","Free State","11","Mangaung","ZA.FS.MT","0","MAN","District Municipality","District Municipality",NA,"Matheo","ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2013,0.190235214342386,"211","ZAF","South Africa","2","Free State","11","Mangaung","ZA.FS.MT","0","MAN","District Municipality","District Municipality",NA,"Matheo","ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2000,0.157414821765867,"211","ZAF","South Africa","2","Free State","11","Mangaung","ZA.FS.MT","0","MAN","District Municipality","District Municipality",NA,"Matheo","ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2001,0.169663211109319,"211","ZAF","South Africa","2","Free State","11","Mangaung","ZA.FS.MT","0","MAN","District Municipality","District Municipality",NA,"Matheo","ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
