"clinic","year_id","used","mean","n","type","agegr","age","agspan","ihme_loc_id","lbd_areal","lbd_missing","iso3","site_pred","adm0_mean","adm0_lower","adm0_upper","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"TAMBA",2004,TRUE,0.036,449,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THIES",2004,TRUE,0.003,875,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",2004,TRUE,0.034,759,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAKAR",2005,TRUE,0.007,1149,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIOURBEL",2005,TRUE,0.013,472,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FATICK",2005,TRUE,0.004,723,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",2005,TRUE,0.017,773,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOLDA",2005,TRUE,0.036,584,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOUGA",2005,TRUE,0.005,830,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATAM",2005,TRUE,0.016,435,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MBOUR",2005,TRUE,0.006,316,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAINT LOUIS",2005,TRUE,0.005,437,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THIES",2005,TRUE,0.004,722,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",2005,TRUE,0.021,702,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIOURBEL",2006,TRUE,0.01,581,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FATICK",2006,TRUE,0.012,597,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",2006,TRUE,0.009,555,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOUGA",2006,TRUE,0.008,624,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATAM",2006,TRUE,0.015,735,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAMBA",2006,TRUE,0.021,483,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THIES",2006,TRUE,0.007,701,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",2006,TRUE,0.023,643,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAKAR",2007,TRUE,0.007,811,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIOURBEL",2007,TRUE,0.003,612,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",2007,TRUE,0.006,649,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAINT LOUIS",2007,TRUE,0.013,626,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAKAR",2009,TRUE,0.004,627,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIOURBEL",2009,TRUE,0,468,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FATICK",2009,TRUE,0,462,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",2009,TRUE,0.003,680,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOLDA",2009,TRUE,0.022,731,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOUGA",2009,TRUE,0.008,689,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATAM",2009,TRUE,0.006,521,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MBOUR",2009,TRUE,0.006,643,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAINT LOUIS",2009,TRUE,0,590,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAMBA",2009,TRUE,0.007,569,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THIES",2009,TRUE,0.006,748,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",2009,TRUE,0.031,479,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAKAR",2011,TRUE,0.01,670,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIOURBEL",2011,TRUE,0.006,758,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FATICK",2011,TRUE,0.007,586,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",2011,TRUE,0.007,772,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
